name,sport_category,movement_pattern,primary_muscles,secondary_muscles,cns_load,skill_level,injury_risk,equipment,description
Hammer Curls ,both ,pull,"""{brachialis}""","""{forearms}""",low,low ,low ,"""{dumbbell}""",basic neutral grip curl great for boosting grip strength and holding opponents
Romanian Deadlift,football ,hinge ,"""{glutes,hamstrings}""","""{lower_back}""",high ,medium ,high ,"""{barbell}""",deadlift with knees locked in slight bend position for acceleration and deceleration 
Walking Lunges ,combat ,squat ,"""{quads,glutes}""","""{hamstrings}""",low,low ,low ,"""{dumbbell,barbell}""",unilateral lunges great for movement and balance in match
Dips,both ,press,"""{triceps,chest}""","""{shoulder,core}""",low,medium ,low ,"""{bar,bodyweight}""",unweighted or weighted lean forward as you lower yourself then push yourself up great for upper body explosiveness
Single Leg Step Ups,football ,press,"""{quads,glutes}""","""{calves,hamstrings}""",medium,low ,low ,"""{bench,dumbbell}""","one leg on bench other down then explode other leg up great for drive, acceleration and cutting"
Barbell Rows ,combat ,pull,"""{lats,rhomboid}""","""{rear_delts}""",low,medium ,medium ,"""{barbell}""",Bent over 45 degree barbell row great for takedown defense and clinches control
Face Pulls,both ,pull,"""{rear_delts}""","""{traps,rhomboid}""",low,low ,low ,"""{cable}""",pull rope to eye level for pulling strength and posture 
Broad Jumps ,football ,jump,"""{quads,hamstrings}""","""{glutes,calves}""",low,low ,low,"""{bodyweight}""",continuous forward broad jump great for powerful burst and acceleration 
Plate Rotations,combat ,rotate ,"""{shoulders,obliques}""","""{upper_back}""",low,medium ,medium ,"""{plate}""",rotate plate around head great for shoulder endurance preventing injury and force in strikes 
Chin-Ups,both ,pull,"""{lats,biceps}""","""{traps,rhomboid}""",low,low ,low ,"""{bodyweight}""",Supinated grip pull-ups great for overall back and grip strength 
Half Kneeling Landmine Press,football ,press,"""{shoulders}""","""{obliques,chest}""",medium ,medium ,low ,"""{barbell}""",unilateral press movement from kneeling position great for shoulder health and explosive upper body strength
Forearm Curls,combat ,pull,"""{forearms}""","""{brachialis}""",low,low ,low ,"""{dumbbell}""",Simple curl using only your wrist great for harder strikes and stronger hooks
Depth Jumps ,both ,jump,"""{hamstrings,quads}""","""{calves}""",low,low ,medium ,"""{bodyweight}""",drop from elevated position then explode up great for fast force absorption and injury resilience
High Pulls,football ,pull,"""{shoulders}""","""{hamstrings,quads}""",medium ,medium ,low ,"""{barbell,dumbbells}""",alternative clean variation great for full body explosive power and acceleration 
Weighted Calf Raises,combat ,press,"""{calves}""","""{soleus}""",low,low ,low ,"""{dumbbell,barbell}""",Raise onto your toes with weights great for explosive movement and shock absorption 
